stunting,bblr,kurus_akut,posyandu,nakes,harga_protein,kalori_harian,pola_asuh,air_bersih,sanitasi,kemiskinan,literasi_gizi,suplemen,dana_gizi,status_pangan,wilayah
26.5,7.3,5.5,90.2,2.38,10454,2068,73.7,60.7,75,13.9,46.8,56.5,3.31,Non-Sentra,Terpencil
19.6,11.9,5.6,35.2,3.84,11868,2131,91.9,49.9,75.2,3,87.9,59.2,8.71,Sentra,Urban
27.4,5.4,6.1,82.1,2.83,11571,2170,87.2,53.2,67.6,19.3,53,57.5,6.9,Non-Sentra,Pedesaan
10,2.5,1.5,53.7,3.85,9782,2382,72.7,71.1,79.2,4,32.7,42.3,4.06,Sentra,Pedesaan
10,4.7,7,42.2,4.21,13983,2481,81.2,56.4,89.9,4.2,30,98.3,12.56,Sentra,Terpencil
29.9,8.8,5.1,38.6,4.23,13543,2035,53.1,55,70.8,22.2,67.2,97.5,3.79,Non-Sentra,Urban
29.5,8.2,9,54.6,5.44,11067,2037,69.2,56.7,54.8,17.2,52,48.6,9.79,Non-Sentra,Urban
30.2,11.3,11.4,41.3,3.02,10311,1898,80.1,54.6,55.9,25.9,43.4,48.2,3.88,Non-Sentra,Terpencil
15.9,7,7.8,71.4,0.54,13154,2232,76.8,72.8,85.5,11.5,56.8,46.9,11.62,Sentra,Terpencil
20.4,13.2,5.7,42.1,1.34,9088,1994,77.6,57.3,50.8,14.2,68.1,88,13.96,Sentra,Urban
44.6,14.9,12.6,22.8,2.86,13100,1661,70,44.5,43.8,30.4,58.4,89.3,2.44,Sentra,Terpencil
25.4,9.6,4.5,83.3,6.67,11245,2172,70.6,58.4,73.8,16.9,30.6,67.9,4.17,Sentra,Pedesaan
20.9,2.5,2.4,25.1,5.29,10394,2115,95,71.7,56.5,11,49.9,81.2,8,Non-Sentra,Pedesaan
23.9,8,10.5,65.2,3.42,12438,2017,90.6,52.8,73.4,17.9,41.8,53.9,8.85,Non-Sentra,Terpencil
15,6.6,1.5,34.9,2.01,13738,2070,59.5,97.8,74,14,23.1,46.3,8.39,Sentra,Terpencil
27.9,8,3.9,52.5,2.22,13040,1848,74.7,51.9,43.8,21.9,22.3,92.2,3.16,Non-Sentra,Pesisir
42.6,11.1,12.8,32.1,5.57,12589,1669,56.8,46,44,35,85.6,56.5,11.21,Non-Sentra,Urban
17.9,2.5,4.7,47,0.71,12195,2161,81.7,71.6,62.5,14.9,40.6,81.9,3.24,Non-Sentra,Pedesaan
23.1,6.7,5.9,66.8,1.29,11095,2169,56.2,66.1,72.2,10.9,32.3,44.3,10.24,Non-Sentra,Pesisir
33.8,7.1,10.2,56.5,3.47,9978,1948,61.6,53,51,31.4,27.2,43.7,4.04,Non-Sentra,Terpencil
11.1,2.5,4,56.9,6.03,9750,2560,93.2,94.4,91.1,13.7,88.9,44,12.95,Sentra,Pedesaan
29.3,2.6,8.7,48.8,0.53,10495,1957,75.4,77.1,53.9,22.7,67.9,74.5,11.03,Sentra,Pedesaan
29,11.5,6.3,33,5.36,13564,1879,66.7,59.1,60.6,15.8,60.2,48.1,8.64,Non-Sentra,Terpencil
13.1,10.3,1.5,90.4,1.42,11464,2254,73.9,76.3,79.4,12.4,33.6,42.5,7.04,Non-Sentra,Pedesaan
26.3,13.2,3.5,25.5,0.57,10090,2119,80.6,76.4,81.2,20.7,55.4,92.5,6.41,Sentra,Pesisir
39.2,15,10.4,83.7,6.2,11367,1825,55.7,60.5,46.2,22.3,75.3,82.8,14.29,Sentra,Pedesaan
21.7,13.7,6,92.7,6.79,13288,2154,78.8,70.9,65.7,18.3,79.7,98.3,13.28,Non-Sentra,Pesisir
10,2.5,5.6,60.1,3.93,11919,2412,71.1,88.4,73.6,6.6,51.7,79,3.13,Sentra,Urban
30.4,7.2,12.6,28,1.11,11769,1984,64.4,66.1,61.2,29.4,24.1,97.8,11.72,Sentra,Pedesaan
20.9,8.2,4.7,53.4,3.79,12497,2165,76.1,65.3,79.9,19.8,44.7,66.6,4.12,Sentra,Terpencil
35,11.1,4.7,56.1,6.7,12518,1821,68.2,60.2,57.2,25.9,28.2,43.9,11.97,Sentra,Pesisir
21.2,9.6,4.5,79.8,0.94,13447,2064,63.5,79.5,76.7,7.2,45.5,65.3,4.8,Non-Sentra,Pedesaan
35,10.6,15,33.8,3.29,9527,2014,60.7,38.7,43.2,17.8,60.3,52,14.67,Non-Sentra,Pedesaan
27.7,13.9,5.3,55.5,1.46,10507,1920,54.5,57.3,67.4,26.1,82.6,72.7,6.78,Sentra,Terpencil
15.5,4.8,1.5,71.1,4.07,9628,2214,71.9,70.2,75.6,7.5,27.5,68.2,10.21,Sentra,Urban
28.3,7.3,6.5,79,1.97,10552,2002,69.9,74.1,67.2,17.1,76.6,71.9,9.26,Non-Sentra,Pesisir
22,9.3,9,40.2,3.23,13231,2288,77,77.6,61.6,20.6,62.3,48,5.07,Sentra,Pedesaan
12,2.5,3.9,27.5,2.93,11947,2202,86.6,76.1,96.8,8.3,86.5,86.8,4.2,Non-Sentra,Urban
22.8,2.5,13.2,90.6,0.42,9034,2064,58.6,75.1,70.4,16,32,70.7,5.28,Sentra,Pedesaan
15.4,9.2,3.6,32,2.78,10087,2210,67.1,77,81.5,10.6,40.9,90.3,5.1,Sentra,Pesisir
10.3,2.5,1.5,84.1,4.4,10585,2410,95,82.8,78.6,9,83.4,62.8,10.4,Non-Sentra,Pedesaan
25.2,4.3,8.7,53.6,3.83,12220,1998,60.4,77.4,57.7,10.4,75.6,49.9,5.41,Non-Sentra,Pedesaan
26.4,6.4,9,63.6,1.39,11111,2039,67,35.4,58.1,12,35.6,85.5,6.67,Sentra,Pesisir
42.1,13.2,11.5,22.3,5.04,9979,1805,58,52.6,47.1,30.7,76,65.8,10.85,Sentra,Terpencil
14.8,3.9,3.5,34.8,0.87,9084,2305,88.4,90.4,82.5,5.6,61.5,81.6,13.81,Sentra,Pedesaan
22,16.6,6.2,79.6,4.57,11107,2097,72.2,88.2,61,10.2,23.6,53.2,10.41,Non-Sentra,Urban
17.4,2.8,4.6,42.1,2.73,11947,2288,79.1,55.2,57.4,4.4,63.7,75.2,6.35,Non-Sentra,Pesisir
36.3,10.5,8.5,65.6,6.03,9248,1857,58.2,66.7,57.6,27.4,61.2,78.7,7.96,Non-Sentra,Terpencil
32.7,12,4.8,49.6,5.34,9244,1862,54.3,70.4,54.2,27.9,28.2,65.7,5.39,Non-Sentra,Pesisir
28.7,8.3,4.2,58,5.39,9734,2051,78,48.1,60.2,27.4,33.2,55.8,12.99,Non-Sentra,Pesisir
38.7,12.7,13.8,29.1,0.76,11009,1696,50.7,19.2,31.3,25.5,27.1,81.1,7,Sentra,Urban
35.7,14.3,8.8,70.5,5.79,9634,1704,39.4,74.8,52.3,24.7,30.6,91.7,15.33,Sentra,Pedesaan
24.7,13,12.8,25.3,2.63,10906,2240,73.6,55.7,74,6.5,78.1,54.1,7.63,Sentra,Terpencil
34.4,10.8,11.2,76.9,5.44,13614,2164,60.1,63.5,58.4,22.9,65.7,59.7,5.66,Non-Sentra,Terpencil
26.2,8.8,6.7,25,6.22,11181,1969,53.9,74.5,81.1,17.1,36.3,85,10.03,Sentra,Terpencil
29.7,9.6,11.1,38.8,3.46,13319,1889,54.8,65.6,60.9,25.3,47.4,85.2,5.25,Sentra,Terpencil
13,2.5,1.5,53.2,5.46,9699,2406,93.9,98.9,80.4,3,42,54.9,6.64,Sentra,Urban
25.7,2.5,3.1,91.5,2.83,11769,2161,72,74.7,61.5,16.9,36.7,96.4,9.43,Sentra,Pesisir
38.3,9.2,13.1,40.7,3.71,13749,1806,58.6,46.7,53,27.1,22.5,62.7,3.22,Non-Sentra,Pedesaan
19.7,5,4.5,33.8,5.27,11294,2167,82,67.3,65.9,27.7,46,43,5.74,Sentra,Pesisir
10,2.5,3.5,91.7,2.38,10752,2290,75.8,94.5,83.2,16.2,28.5,98.7,9.35,Non-Sentra,Urban
20.6,7.6,5.5,41.7,2.04,12456,2336,55.8,81,74.8,3,69.5,44.4,15.5,Sentra,Pedesaan
25.3,14.2,12.1,58.7,5.16,10108,2009,86.9,53.5,55.4,10.1,55.4,63.9,4.04,Non-Sentra,Pesisir
29.8,8.4,11,44.7,0.78,9517,1933,67.3,70.9,61.1,19.4,68.7,96.8,13.51,Sentra,Terpencil
16.3,4.4,5.3,66.2,1.75,12886,2375,91.3,60.7,83.3,20.8,24,95.4,9.78,Sentra,Urban
24.6,8.9,8.2,87.8,1.29,12560,2003,82.1,58.4,65.2,20.1,46.2,87.5,6.23,Sentra,Terpencil
43.9,14.7,8.5,75.5,2.97,12117,1550,45.3,50.9,52.8,30.4,54.9,47.6,8.22,Sentra,Terpencil
29.2,9.5,9.5,62.5,5.1,11454,2037,52.4,85.8,49.2,11.9,79.9,64.7,11.27,Non-Sentra,Pedesaan
24.2,7.5,6.2,23.2,6.34,11959,2024,43.2,55,73.9,18.1,33.3,48.6,8.15,Sentra,Pedesaan
20.7,9.6,8.4,61.7,3.94,9996,2167,85.2,77.1,64,20.3,26.5,67.3,15.56,Non-Sentra,Pedesaan
10,6.3,5.2,20.2,1.88,10886,2470,83.2,68.6,79.6,3.7,75.2,86.7,15.57,Sentra,Urban
45.9,12,17.4,20.8,4.21,10063,1829,42.9,54.9,40.9,25.5,80.2,44.1,10.29,Sentra,Terpencil
23.4,6.4,7,78.9,3.47,13130,2320,54.2,72.5,60.7,16.5,68.5,43.1,12.27,Sentra,Terpencil
22.1,9.6,2.9,63.5,1.42,12526,1945,76.4,67.4,65.4,12.2,71,60.7,8.87,Non-Sentra,Pesisir
43.8,10.6,11.6,58.8,4.33,13637,1631,43.9,58,53.3,31.5,47.3,41.6,12.3,Sentra,Terpencil
32.6,10.2,15.2,65.4,1.42,12896,2012,52.2,49.8,70.9,14.1,79.8,44.8,15.66,Sentra,Pesisir
28.3,2.5,6.4,76.4,1.43,10220,2092,51.8,22.1,74.3,15.6,68,51.7,9.99,Sentra,Pedesaan
10,3.4,4,82.5,1.28,13770,2144,73.8,73.3,90.4,3,77.3,76.4,12.87,Sentra,Urban
32,9.8,8.1,70.9,3.37,12769,1894,68.6,59,50.3,29,55.4,80.3,4.02,Sentra,Terpencil
17.9,3.5,10,91.2,2.79,10261,2167,84.9,79.3,73.8,11.9,37.3,92,2.21,Sentra,Pedesaan
42.5,7,5.6,74.1,5.06,13306,1717,37.9,44.9,28.3,28.7,57.2,71.1,7.25,Non-Sentra,Pedesaan
25.1,13.4,7.4,76.9,4.48,13706,2136,72,70,63.7,15.7,26.7,98,14.19,Sentra,Pedesaan
36.1,13.1,12,79.1,2.54,9009,1932,61.5,46.9,44.8,19.3,79.7,85.7,7.62,Sentra,Terpencil
22.5,6.5,5.7,72.5,4.14,10699,2116,72.4,87.1,64.2,16.6,31.6,56,5.82,Sentra,Urban
33.6,10.8,6.3,52.6,3.22,12679,1745,21.1,68.4,65.5,17.7,44.5,76.4,13.84,Sentra,Urban
26.2,14.6,7,21.4,4.54,11762,1974,71.2,52.8,57.9,22.2,75.5,46.8,14.24,Non-Sentra,Pedesaan
18.2,6.5,4.4,80,4.41,9764,2314,80.6,77.4,72.3,17.5,62.9,97.1,12.15,Sentra,Terpencil
10,3.7,5.4,23.6,0.43,9427,2377,95,67,89.2,5.1,29.7,87,2.85,Non-Sentra,Terpencil
23.3,3.6,5.8,32.1,1.79,13253,2080,80.9,71.2,79.2,13.4,25.2,72.4,8.76,Sentra,Urban
16.7,7,6,68.7,4.18,9694,2054,69.7,67.1,69.7,14.4,37.6,61.6,6.03,Non-Sentra,Pedesaan
39.4,10.5,8.1,94.4,0.79,13701,1677,37.3,45.4,26.1,30.6,22.6,61.2,2.9,Non-Sentra,Urban
38.2,15.6,8.9,49.2,3.8,9952,1802,59.7,62.1,52.6,28.9,53.5,58.7,4.31,Sentra,Terpencil
25.4,13,4.7,38.1,4.36,12935,1921,88.5,71.5,69,22.7,53.8,76.2,7.37,Sentra,Pedesaan
35.5,13.5,13.7,93.2,1.31,13438,1927,60,47.8,49.4,28,45.6,69.7,14.23,Sentra,Pesisir
18.4,9.6,4.6,49.2,3.2,9808,2279,73.6,97,74.9,17.1,37.6,63.4,2.54,Sentra,Pedesaan
10,3,8,71.7,1.64,11674,2195,82.6,78.3,83.6,3,55.2,91.1,7.03,Non-Sentra,Pesisir
23.4,11.6,7.9,43.3,5.25,10447,2004,57.6,83.8,80.6,20.8,88.5,94.2,14.28,Non-Sentra,Terpencil
24.8,13.9,7.3,69.5,1.11,10974,2232,84.2,89.3,51.7,14.6,25.7,69.6,9.36,Sentra,Urban
10,6.1,4.9,38.9,6.5,10876,2237,91.3,84.5,72.3,5.2,23.6,50.7,2.15,Non-Sentra,Pedesaan
25,8.4,6.7,61.7,2.95,9752,2054,71.8,48.9,63,10.3,43.8,78.5,10.74,Non-Sentra,Pesisir
29.9,12.5,8.2,22.7,3.85,13623,1790,55.4,49.1,53.7,20.7,80.1,42.9,5.82,Non-Sentra,Pedesaan
