Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
20.0,76.0,9,64.0,2,2,64
16.0,74.0,6,68.0,2,4,67
26.0,93.0,4,80.0,4,3,73
15.0,99.0,8,94.0,2,3,71
14.0,88.0,8,67.0,2,3,66
16.0,67.0,6,72.0,1,3,66
1.0,81.0,8,66.0,1,2,60
17.0,62.0,6,54.0,2,3,62
27.0,71.0,9,51.0,3,1,66
17.0,67.0,4,71.0,3,2,63
16.0,82.0,8,75.0,2,2,66
13.0,71.0,6,51.0,4,4,65
23.0,77.0,6,69.0,1,2,67
15.0,77.0,5,65.0,2,4,65
25.0,69.0,5,63.0,1,2,65
20.0,65.0,6,88.0,0,4,64
20.0,94.0,8,93.0,1,3,71
21.0,65.0,6,100.0,3,4,67
23.0,64.0,6,,1,5,64
21.0,96.0,9,87.0,0,6,70
22.0,86.0,5,57.0,2,3,69
24.0,93.0,7,88.0,1,3,71
23.0,74.0,8,95.0,2,2,67
22.0,92.0,7,52.0,1,3,68
22.0,94.0,7,75.0,2,2,71
27.0,80.0,7,84.0,4,3,68
22.0,83.0,6,80.0,2,5,69
24.0,78.0,9,91.0,0,3,68
20.0,89.0,6,70.0,1,3,68
8.0,84.0,9,56.0,1,2,61
19.0,67.0,7,93.0,0,4,66
22.0,61.0,6,74.0,1,3,63
24.0,89.0,9,53.0,1,3,68
7.0,97.0,6,97.0,3,2,69
19.0,79.0,9,82.0,1,4,65
23.0,89.0,7,81.0,2,2,70
20.0,70.0,6,78.0,0,2,66
22.0,64.0,8,68.0,2,4,65
24.0,66.0,8,,0,2,67
12.0,72.0,8,56.0,3,1,62
29.0,67.0,7,75.0,3,1,65
31.0,96.0,8,93.0,3,3,75
22.0,71.0,6,79.0,1,3,66
28.0,79.0,4,82.0,0,3,70
18.0,,9,81.0,4,5,71
13.0,76.0,5,99.0,2,4,66
23.0,95.0,6,94.0,2,3,73
23.0,68.0,9,55.0,1,3,65
27.0,95.0,6,94.0,2,4,74
16.0,90.0,7,58.0,1,4,70
24.0,63.0,8,78.0,0,3,64
20.0,99.0,9,68.0,1,3,69
38.0,90.0,4,60.0,2,4,74
9.0,78.0,7,100.0,2,2,66
22.0,63.0,7,80.0,2,2,64
22.0,97.0,7,98.0,0,0,71
21.0,67.0,7,52.0,3,3,62
30.0,96.0,10,52.0,0,4,74
17.0,,9,94.0,0,3,71
27.0,81.0,5,98.0,0,3,70
30.0,81.0,5,67.0,1,1,69
17.0,98.0,7,72.0,0,3,71
24.0,76.0,7,72.0,1,2,67
25.0,88.0,8,98.0,1,4,69
32.0,66.0,10,77.0,3,1,71
24.0,91.0,8,52.0,1,5,68
19.0,86.0,7,93.0,1,2,72
21.0,84.0,4,90.0,2,3,69
26.0,84.0,7,64.0,1,4,69
14.0,84.0,5,82.0,3,3,66
19.0,78.0,5,56.0,3,4,65
13.0,65.0,6,73.0,0,3,62
30.0,63.0,8,96.0,4,3,71
18.0,81.0,9,73.0,1,2,67
15.0,81.0,5,68.0,0,3,65
20.0,94.0,8,89.0,1,4,71
16.0,81.0,6,57.0,3,3,64
21.0,79.0,7,88.0,0,4,65
17.0,64.0,9,50.0,2,4,62
12.0,72.0,6,99.0,0,4,62
21.0,69.0,10,92.0,2,3,65
16.0,79.0,6,64.0,4,4,67
20.0,81.0,8,69.0,1,2,65
13.0,78.0,7,82.0,0,2,65
26.0,94.0,6,59.0,4,3,71
14.0,98.0,8,91.0,0,4,67
11.0,94.0,9,66.0,2,2,65
22.0,62.0,7,87.0,2,3,64
20.0,95.0,7,64.0,2,3,68
19.0,95.0,9,97.0,0,2,71
,75.0,7,50.0,4,2,65
13.0,62.0,6,90.0,3,3,62
15.0,78.0,7,81.0,0,2,64
19.0,79.0,10,59.0,1,3,65
20.0,83.0,7,75.0,0,4,67
39.0,95.0,9,54.0,2,3,77
16.0,85.0,8,87.0,4,3,67
24.0,69.0,7,81.0,3,4,68
13.0,64.0,7,50.0,0,4,60
20.0,84.0,10,62.0,1,2,67
20.0,82.0,8,79.0,1,4,67
30.0,63.0,10,76.0,1,4,67
12.0,87.0,7,62.0,2,4,64
11.0,83.0,6,55.0,0,4,62
30.0,71.0,9,98.0,2,1,69
17.0,96.0,8,97.0,0,3,67
27.0,72.0,7,79.0,2,2,68
22.0,76.0,9,76.0,2,5,65
19.0,90.0,8,85.0,2,4,72
20.0,66.0,6,90.0,0,1,64
29.0,76.0,8,60.0,2,3,68
24.0,75.0,6,65.0,0,5,65
20.0,79.0,7,91.0,2,4,66
24.0,76.0,6,67.0,2,3,68
28.0,79.0,9,94.0,2,5,72
15.0,60.0,7,63.0,0,1,58
22.0,77.0,10,79.0,2,2,67
22.0,75.0,6,56.0,3,3,65
20.0,86.0,8,94.0,2,2,64
22.0,63.0,6,63.0,1,2,62
14.0,82.0,8,95.0,1,3,66
12.0,93.0,9,74.0,1,3,67
16.0,79.0,8,82.0,2,3,64
20.0,98.0,8,89.0,3,2,72
25.0,69.0,7,52.0,1,4,65
26.0,93.0,6,87.0,1,3,73
20.0,73.0,6,84.0,0,3,67
18.0,95.0,6,94.0,6,3,73
22.0,88.0,10,72.0,2,2,69
18.0,67.0,7,87.0,5,2,66
34.0,65.0,6,62.0,0,3,67
33.0,93.0,6,96.0,0,4,75
26.0,80.0,8,93.0,2,1,69
27.0,72.0,5,93.0,1,2,70
21.0,,8,78.0,2,2,64
35.0,84.0,8,92.0,6,4,74
22.0,88.0,9,,3,2,68
15.0,65.0,9,65.0,1,2,61
16.0,98.0,8,85.0,0,2,69
25.0,79.0,6,77.0,2,3,68
23.0,98.0,7,54.0,0,3,68
29.0,77.0,6,85.0,1,1,69
17.0,91.0,8,66.0,3,2,69
9.0,76.0,7,79.0,1,3,63
24.0,90.0,8,99.0,0,3,72
16.0,64.0,7,79.0,3,4,66
19.0,80.0,7,66.0,4,4,69
20.0,62.0,4,78.0,1,4,64
22.0,76.0,10,57.0,1,3,66
8.0,88.0,8,92.0,1,4,66
32.0,76.0,6,96.0,0,2,67
21.0,81.0,7,85.0,1,3,68
16.0,100.0,8,65.0,1,2,69
17.0,66.0,5,64.0,0,2,64
27.0,82.0,6,51.0,1,3,66
19.0,73.0,7,85.0,1,3,65
32.0,79.0,5,61.0,0,3,70
15.0,66.0,7,53.0,2,3,61
7.0,62.0,7,74.0,3,3,62
11.0,97.0,8,76.0,2,2,69
30.0,88.0,9,,1,3,73
29.0,97.0,7,74.0,1,4,73
13.0,70.0,6,66.0,1,4,63
26.0,77.0,7,71.0,1,4,66
12.0,72.0,8,84.0,1,5,63
19.0,72.0,5,52.0,1,2,64
19.0,92.0,6,68.0,2,2,69
23.0,77.0,5,68.0,0,3,67
20.0,93.0,6,82.0,1,3,68
24.0,80.0,7,96.0,0,0,70
16.0,74.0,8,80.0,0,4,66
17.0,96.0,6,60.0,1,3,69
13.0,66.0,6,69.0,2,4,61
19.0,78.0,9,78.0,2,2,67
26.0,91.0,7,79.0,1,5,72
27.0,74.0,6,54.0,3,3,69
,85.0,5,55.0,3,3,67
17.0,98.0,10,71.0,0,3,70
14.0,74.0,7,66.0,0,3,63
16.0,78.0,7,85.0,4,2,65
,94.0,7,51.0,1,3,65
28.0,,8,66.0,0,6,66
32.0,85.0,9,63.0,2,3,69
23.0,64.0,8,94.0,2,5,66
20.0,95.0,6,65.0,2,3,70
24.0,95.0,7,71.0,1,3,74
24.0,63.0,8,59.0,1,3,62
25.0,75.0,7,66.0,0,4,68
24.0,77.0,6,52.0,0,4,66
15.0,99.0,6,73.0,1,5,72
17.0,77.0,5,59.0,2,4,65
20.0,63.0,7,55.0,2,3,63
17.0,77.0,7,54.0,1,2,64
16.0,73.0,8,58.0,1,4,64
29.0,82.0,7,84.0,1,2,70
12.0,89.0,8,,1,2,66
18.0,81.0,9,73.0,1,2,65
17.0,70.0,8,82.0,2,2,64
26.0,68.0,6,98.0,2,3,67
17.0,93.0,6,87.0,1,2,67
16.0,62.0,7,79.0,2,3,63
24.0,64.0,8,90.0,0,3,65
14.0,94.0,7,62.0,2,1,69
16.0,92.0,6,58.0,0,4,67
11.0,97.0,7,69.0,3,2,66
22.0,95.0,7,85.0,0,4,71
11.0,88.0,7,61.0,2,3,68
20.0,66.0,4,95.0,2,2,66
26.0,74.0,8,57.0,0,1,65
28.0,83.0,8,61.0,1,5,67
23.0,100.0,5,93.0,4,3,73
17.0,69.0,9,96.0,2,3,66
13.0,98.0,8,67.0,1,4,71
30.0,85.0,6,96.0,1,4,72
23.0,96.0,6,93.0,5,4,72
17.0,96.0,7,57.0,2,3,68
16.0,76.0,6,66.0,1,3,64
9.0,79.0,7,90.0,1,3,63
19.0,69.0,7,82.0,1,2,65
15.0,93.0,6,64.0,2,4,71
12.0,92.0,7,78.0,3,2,67
4.0,64.0,7,65.0,1,4,59
12.0,98.0,6,87.0,2,3,70
19.0,96.0,7,71.0,2,3,70
21.0,96.0,9,53.0,0,3,70
22.0,92.0,8,65.0,0,2,71
23.0,91.0,6,89.0,3,3,73
15.0,96.0,7,58.0,3,4,70
24.0,92.0,5,81.0,2,3,69
31.0,79.0,7,98.0,1,2,72
20.0,98.0,9,71.0,0,4,69
19.0,90.0,7,59.0,3,3,70
20.0,64.0,6,50.0,0,2,62
21.0,72.0,7,78.0,0,1,63
27.0,91.0,4,53.0,1,3,70
16.0,100.0,10,56.0,1,2,69
18.0,68.0,7,72.0,0,3,64
9.0,76.0,9,71.0,1,3,63
17.0,63.0,6,94.0,0,2,61
21.0,80.0,6,55.0,1,3,68
19.0,88.0,5,95.0,1,3,70
22.0,87.0,6,58.0,0,4,68
18.0,74.0,7,67.0,0,3,63
16.0,70.0,4,85.0,0,3,64
25.0,73.0,7,70.0,0,4,67
27.0,64.0,8,67.0,0,3,65
23.0,85.0,7,99.0,1,5,71
21.0,98.0,7,68.0,0,3,71
13.0,62.0,6,86.0,2,4,61
12.0,90.0,6,75.0,2,3,69
18.0,94.0,4,71.0,3,3,71
16.0,75.0,5,86.0,0,1,62
22.0,76.0,6,84.0,2,3,70
21.0,79.0,4,92.0,0,2,67
21.0,85.0,7,52.0,3,3,66
17.0,97.0,9,88.0,0,2,70
15.0,74.0,7,60.0,2,3,62
27.0,99.0,7,58.0,2,2,71
17.0,81.0,9,68.0,1,3,66
21.0,72.0,8,100.0,3,3,70
26.0,72.0,10,54.0,2,2,66
18.0,89.0,4,73.0,3,2,100
25.0,72.0,6,89.0,3,5,68
28.0,74.0,9,96.0,0,3,68
19.0,92.0,7,55.0,1,5,66
21.0,95.0,7,98.0,1,2,69
20.0,67.0,10,53.0,1,2,65
20.0,64.0,6,53.0,4,4,65
18.0,81.0,10,55.0,3,2,64
26.0,89.0,6,72.0,1,3,69
20.0,81.0,6,54.0,0,2,63
36.0,66.0,8,58.0,1,3,69
20.0,95.0,7,62.0,1,3,69
20.0,83.0,7,79.0,2,5,66
23.0,64.0,5,59.0,3,5,64
36.0,82.0,7,63.0,0,3,69
16.0,97.0,6,92.0,0,4,71
33.0,77.0,5,,0,5,69
24.0,81.0,6,61.0,3,3,69
9.0,97.0,6,68.0,5,3,69
23.0,72.0,8,51.0,2,3,65
26.0,71.0,6,94.0,3,4,68
12.0,90.0,9,77.0,3,3,70
14.0,96.0,9,64.0,2,3,69
19.0,100.0,7,89.0,2,3,72
8.0,97.0,8,87.0,0,2,67
35.0,93.0,6,94.0,5,2,76
22.0,70.0,6,58.0,4,2,66
,91.0,7,57.0,3,3,69
26.0,97.0,6,66.0,2,1,73
13.0,86.0,5,54.0,3,3,66
28.0,90.0,9,91.0,0,2,98
22.0,70.0,7,53.0,1,3,83
24.0,75.0,8,85.0,1,2,66
23.0,89.0,7,82.0,2,1,70
22.0,63.0,7,,3,4,65
27.0,65.0,8,57.0,2,4,65
18.0,99.0,8,72.0,4,4,72
30.0,99.0,5,70.0,2,4,74
17.0,87.0,5,60.0,4,3,67
19.0,70.0,7,95.0,0,3,66
12.0,80.0,7,90.0,3,3,64
22.0,73.0,5,58.0,4,3,65
18.0,78.0,9,59.0,0,1,64
25.0,87.0,7,89.0,1,4,69
16.0,82.0,8,70.0,4,4,68
10.0,78.0,8,74.0,1,4,65
25.0,81.0,9,87.0,1,1,68
27.0,78.0,10,53.0,3,4,68
24.0,92.0,5,94.0,1,2,73
23.0,70.0,8,75.0,0,2,65
22.0,64.0,6,73.0,3,4,67
22.0,84.0,8,90.0,2,2,70
32.0,,6,55.0,0,3,71
24.0,77.0,8,87.0,2,1,68
20.0,90.0,4,83.0,1,3,69
17.0,64.0,6,92.0,0,1,66
17.0,84.0,6,71.0,0,4,62
24.0,86.0,9,60.0,0,3,68
10.0,97.0,4,83.0,1,2,69
19.0,81.0,10,56.0,1,3,65
21.0,71.0,8,57.0,2,1,66
26.0,79.0,5,63.0,0,2,66
20.0,70.0,6,92.0,2,3,67
7.0,84.0,5,96.0,1,3,62
24.0,91.0,8,73.0,2,2,70
15.0,88.0,8,71.0,1,2,64
18.0,71.0,7,72.0,0,5,66
11.0,93.0,9,94.0,4,4,69
30.0,78.0,10,97.0,1,2,70
16.0,86.0,7,94.0,0,4,66
26.0,76.0,7,74.0,4,3,70
25.0,71.0,7,52.0,3,3,67
21.0,60.0,8,93.0,0,2,63
21.0,90.0,8,60.0,1,2,66
17.0,66.0,6,61.0,1,6,65
15.0,69.0,7,89.0,1,2,63
35.0,84.0,5,86.0,1,3,72
13.0,64.0,6,77.0,0,4,60
24.0,92.0,5,69.0,2,4,70
25.0,60.0,5,73.0,1,2,62
21.0,78.0,6,60.0,1,2,67
18.0,69.0,4,62.0,1,3,63
19.0,99.0,5,54.0,0,2,70
22.0,70.0,5,90.0,1,3,68
17.0,62.0,8,86.0,2,4,62
27.0,93.0,6,66.0,2,3,70
20.0,81.0,6,51.0,3,4,67
22.0,75.0,7,52.0,0,3,66
3.0,62.0,6,67.0,1,3,55
,63.0,6,86.0,1,4,68
10.0,65.0,7,55.0,0,3,59
16.0,61.0,4,54.0,1,2,60
22.0,62.0,8,76.0,1,3,63
27.0,92.0,6,99.0,4,3,74
13.0,99.0,7,54.0,3,3,67
24.0,86.0,7,89.0,2,3,69
14.0,92.0,6,61.0,0,2,67
19.0,74.0,7,86.0,1,3,68
30.0,87.0,9,61.0,2,4,73
28.0,64.0,7,,1,2,67
23.0,97.0,8,60.0,1,3,72
13.0,66.0,6,98.0,1,2,65
17.0,88.0,7,94.0,0,3,69
21.0,95.0,6,66.0,1,4,73
14.0,61.0,7,54.0,3,2,60
6.0,84.0,6,88.0,1,5,65
18.0,84.0,6,64.0,2,2,67
14.0,85.0,6,94.0,0,4,67
23.0,66.0,7,76.0,1,2,64
24.0,76.0,5,78.0,1,4,65
20.0,65.0,8,97.0,0,3,65
19.0,100.0,9,66.0,1,4,69
17.0,86.0,8,74.0,1,4,70
20.0,87.0,8,56.0,1,1,64
17.0,74.0,9,50.0,0,2,60
21.0,65.0,9,56.0,1,5,63
29.0,76.0,9,72.0,1,3,69
17.0,89.0,8,62.0,1,1,66
22.0,99.0,5,67.0,1,3,72
22.0,100.0,7,64.0,2,3,72
16.0,84.0,7,65.0,1,3,65
25.0,77.0,7,56.0,1,3,69
25.0,,9,74.0,1,3,73
20.0,67.0,7,76.0,0,4,63
20.0,83.0,6,97.0,2,4,68
12.0,77.0,6,90.0,2,2,63
21.0,92.0,9,62.0,1,2,68
27.0,100.0,7,67.0,1,3,74
15.0,61.0,8,59.0,1,2,61
30.0,71.0,9,95.0,1,4,70
18.0,90.0,7,81.0,2,3,69
18.0,79.0,9,58.0,3,3,65
29.0,80.0,10,91.0,1,3,70
12.0,74.0,6,55.0,0,3,63
22.0,95.0,6,69.0,3,2,70
25.0,70.0,8,73.0,1,2,65
25.0,,7,86.0,1,3,68
15.0,94.0,8,60.0,2,4,66
21.0,73.0,6,99.0,1,5,65
13.0,86.0,8,53.0,2,4,66
19.0,,7,83.0,1,3,69
14.0,97.0,7,72.0,1,3,66
22.0,91.0,6,73.0,3,4,74
22.0,76.0,9,87.0,2,3,65
17.0,86.0,7,61.0,2,3,66
24.0,77.0,10,53.0,2,4,68
17.0,63.0,4,92.0,2,4,63
17.0,60.0,9,86.0,0,2,63
17.0,68.0,9,57.0,2,3,63
19.0,78.0,7,55.0,0,3,65
22.0,64.0,7,62.0,3,4,65
26.0,99.0,4,91.0,2,4,75
10.0,94.0,5,73.0,1,3,66
16.0,100.0,8,63.0,2,3,69
13.0,70.0,7,80.0,1,4,63
15.0,85.0,4,72.0,4,4,69
30.0,86.0,8,52.0,2,2,68
26.0,77.0,4,70.0,2,3,65
13.0,97.0,7,70.0,1,4,71
14.0,80.0,6,62.0,0,2,65
27.0,98.0,4,82.0,0,3,74
26.0,69.0,6,90.0,3,3,71
13.0,70.0,6,81.0,2,2,66
24.0,73.0,9,71.0,0,3,64
14.0,97.0,5,54.0,3,2,68
19.0,,8,94.0,1,3,62
11.0,73.0,7,67.0,3,5,63
23.0,82.0,6,86.0,0,4,68
18.0,63.0,7,84.0,1,2,66
27.0,82.0,9,67.0,1,2,68
12.0,96.0,5,88.0,0,2,70
11.0,64.0,8,75.0,1,3,60
26.0,82.0,7,86.0,0,2,69
15.0,96.0,7,54.0,0,3,65
17.0,100.0,5,71.0,2,4,70
30.0,97.0,5,70.0,0,2,76
10.0,76.0,4,68.0,1,6,63
22.0,63.0,4,54.0,0,3,62
26.0,77.0,6,63.0,1,4,66
19.0,80.0,10,63.0,1,2,65
16.0,64.0,5,65.0,3,4,65
27.0,90.0,8,67.0,2,3,70
28.0,98.0,7,86.0,2,2,75
22.0,70.0,6,82.0,1,3,65
,62.0,9,70.0,2,2,63
10.0,64.0,7,64.0,0,4,60
17.0,67.0,9,94.0,2,3,66
24.0,72.0,8,88.0,3,2,68
20.0,,8,89.0,1,3,69
30.0,72.0,8,84.0,1,1,68
26.0,66.0,7,67.0,3,4,66
24.0,89.0,5,87.0,3,0,70
29.0,71.0,6,86.0,1,2,69
20.0,63.0,5,95.0,2,3,69
24.0,74.0,4,95.0,1,4,71
9.0,,9,65.0,3,3,67
,75.0,7,77.0,0,2,67
17.0,95.0,5,62.0,1,3,69
22.0,78.0,7,54.0,1,3,65
19.0,79.0,5,99.0,1,4,66
14.0,79.0,6,59.0,5,3,68
20.0,93.0,7,79.0,1,3,69
17.0,76.0,7,87.0,1,4,68
20.0,92.0,5,86.0,0,2,68
15.0,89.0,8,74.0,2,2,69
17.0,67.0,6,59.0,0,3,61
16.0,73.0,6,71.0,2,5,66
21.0,73.0,9,60.0,2,3,66
31.0,71.0,7,66.0,3,1,67
,71.0,6,56.0,2,2,69
32.0,84.0,10,68.0,1,5,73
13.0,100.0,6,76.0,0,5,69
17.0,84.0,6,85.0,1,2,67
19.0,87.0,4,74.0,1,3,69
25.0,85.0,8,50.0,1,1,70
17.0,87.0,9,53.0,3,3,67
25.0,72.0,8,52.0,0,2,66
21.0,79.0,7,99.0,2,2,69
34.0,91.0,7,95.0,1,3,70
20.0,87.0,7,,0,2,66
12.0,68.0,7,98.0,1,4,65
20.0,75.0,6,59.0,2,1,64
20.0,94.0,7,69.0,0,3,65
13.0,89.0,6,98.0,0,4,67
19.0,92.0,7,89.0,0,2,69
15.0,67.0,7,86.0,1,3,66
20.0,78.0,10,85.0,1,3,69
35.0,64.0,6,85.0,2,2,68
24.0,67.0,7,77.0,0,2,68
14.0,94.0,7,85.0,1,3,66
18.0,71.0,6,84.0,2,2,65
14.0,96.0,9,69.0,0,3,66
18.0,94.0,8,52.0,1,4,68
33.0,67.0,6,86.0,4,3,71
24.0,67.0,9,86.0,2,2,68
19.0,81.0,8,96.0,0,4,69
24.0,72.0,7,82.0,2,4,67
28.0,87.0,6,52.0,4,3,70
10.0,89.0,8,69.0,3,4,63
18.0,61.0,6,66.0,1,2,62
17.0,92.0,6,93.0,4,4,72
20.0,89.0,6,74.0,1,3,66
15.0,92.0,7,51.0,1,3,69
24.0,74.0,8,63.0,1,3,65
25.0,67.0,6,65.0,1,3,65
23.0,85.0,6,91.0,1,3,68
23.0,90.0,5,53.0,2,2,70
13.0,98.0,7,81.0,1,3,69
22.0,74.0,6,73.0,3,4,71
15.0,76.0,9,76.0,1,2,67
9.0,87.0,6,64.0,1,2,64
17.0,77.0,4,77.0,0,4,66
23.0,78.0,8,94.0,1,2,68
18.0,66.0,7,89.0,4,3,65
22.0,90.0,7,66.0,0,1,69
11.0,99.0,7,89.0,3,3,72
28.0,76.0,9,60.0,1,2,66
18.0,84.0,8,92.0,0,3,69
30.0,61.0,10,64.0,4,2,69
25.0,99.0,8,83.0,1,2,72
17.0,97.0,9,96.0,0,1,71
20.0,69.0,6,65.0,1,2,64
11.0,93.0,6,72.0,2,3,66
21.0,80.0,7,75.0,3,2,69
17.0,66.0,6,54.0,2,3,63
15.0,69.0,8,53.0,0,3,60
,82.0,7,68.0,2,4,70
16.0,95.0,6,69.0,2,3,67
1.0,69.0,6,97.0,1,3,61
16.0,82.0,7,75.0,0,2,64
24.0,98.0,8,,2,1,71
17.0,87.0,6,99.0,2,2,69
29.0,76.0,8,96.0,2,2,94
24.0,69.0,6,96.0,4,4,70
21.0,83.0,6,81.0,3,4,71
17.0,78.0,6,88.0,1,3,68
17.0,78.0,9,65.0,1,4,65
31.0,62.0,8,91.0,4,4,71
24.0,95.0,8,86.0,1,3,74
14.0,95.0,8,51.0,5,4,70
18.0,92.0,4,88.0,3,2,69
19.0,72.0,8,58.0,0,3,62
17.0,79.0,8,78.0,2,5,70
17.0,83.0,8,69.0,4,3,67
19.0,85.0,7,78.0,2,3,69
16.0,71.0,9,69.0,1,4,65
24.0,70.0,7,71.0,1,4,65
23.0,65.0,6,67.0,3,5,65
26.0,60.0,7,94.0,3,2,68
26.0,,9,75.0,2,3,67
22.0,83.0,8,86.0,3,4,68
15.0,81.0,7,90.0,1,2,68
12.0,65.0,7,71.0,1,4,62
16.0,78.0,8,57.0,1,3,65
21.0,94.0,8,85.0,1,4,70
18.0,78.0,7,55.0,0,3,65
31.0,76.0,9,91.0,1,4,72
19.0,63.0,7,94.0,1,3,64
14.0,69.0,5,91.0,0,3,63
16.0,92.0,8,68.0,1,2,70
19.0,77.0,9,57.0,4,3,64
30.0,83.0,4,77.0,0,4,69
18.0,60.0,5,69.0,0,2,62
6.0,88.0,7,73.0,3,3,67
12.0,75.0,7,58.0,3,4,66
25.0,82.0,4,54.0,0,3,67
9.0,73.0,7,95.0,3,3,62
19.0,99.0,8,79.0,3,4,70
,98.0,5,76.0,2,3,72
20.0,94.0,7,89.0,0,1,68
23.0,60.0,8,69.0,1,4,66
13.0,97.0,8,81.0,3,1,68
10.0,81.0,7,85.0,1,2,63
23.0,86.0,7,54.0,2,2,67
16.0,86.0,8,63.0,2,4,67
20.0,88.0,7,68.0,0,4,69
6.0,85.0,9,70.0,0,3,64
21.0,93.0,6,87.0,1,2,70
12.0,70.0,5,53.0,2,3,63
16.0,67.0,6,88.0,0,3,65
18.0,79.0,7,79.0,0,3,65
21.0,65.0,6,91.0,1,3,67
14.0,91.0,5,98.0,0,3,68
19.0,86.0,8,78.0,2,4,69
,88.0,9,91.0,3,3,73
30.0,,8,78.0,4,2,73
23.0,91.0,5,53.0,3,3,70
20.0,92.0,10,69.0,0,2,67
15.0,69.0,7,74.0,2,5,65
19.0,66.0,9,99.0,1,3,66
35.0,86.0,8,59.0,2,2,70
22.0,85.0,8,73.0,1,3,70
17.0,81.0,8,53.0,0,2,64
20.0,61.0,9,68.0,1,3,65
19.0,99.0,8,84.0,0,4,73
22.0,64.0,8,65.0,2,4,65
23.0,94.0,8,58.0,5,6,71
16.0,77.0,10,69.0,1,3,64
19.0,90.0,6,51.0,1,3,65
17.0,67.0,5,54.0,0,2,61
30.0,73.0,8,100.0,2,2,72
,70.0,4,72.0,0,4,65
22.0,80.0,9,51.0,2,3,68
27.0,88.0,7,56.0,2,4,70
15.0,98.0,9,72.0,1,2,69
15.0,81.0,7,100.0,1,3,67
22.0,65.0,7,95.0,3,2,65
13.0,71.0,10,,0,3,64
19.0,87.0,7,75.0,2,3,67
19.0,81.0,9,53.0,2,3,68
20.0,75.0,7,76.0,3,3,66
27.0,63.0,4,92.0,0,3,68
26.0,88.0,10,,0,3,65
22.0,89.0,8,78.0,4,3,70
22.0,72.0,8,67.0,2,4,64
20.0,65.0,6,74.0,0,3,62
,78.0,6,73.0,0,2,70
20.0,73.0,7,91.0,1,2,66
17.0,98.0,7,88.0,2,4,70
16.0,73.0,4,61.0,4,5,64
22.0,73.0,9,72.0,3,3,66
18.0,71.0,7,80.0,1,4,63
21.0,88.0,4,80.0,1,2,67
30.0,76.0,7,86.0,1,2,69
26.0,82.0,9,74.0,2,5,68
21.0,94.0,6,99.0,1,2,72
25.0,73.0,6,71.0,0,3,67
22.0,95.0,5,97.0,0,3,69
22.0,91.0,7,,1,3,69
7.0,60.0,10,69.0,0,3,59
21.0,85.0,6,74.0,2,4,71
11.0,95.0,5,95.0,1,3,69
21.0,65.0,5,98.0,2,4,66
11.0,64.0,8,67.0,1,2,58
